event,stage,series_date,team_a,team_b,bo_format,inferno_score_a,inferno_score_b,hltv_match_url,liquipedia_page,rar_filename,downloaded,parsed,n_rounds,notes
IEM Cologne 2024,Main/Playoffs,2024/8/16,saw,FaZe,,13,6,https://www.hltv.org/matches/2374323/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-saw-vs-faze-bo3-xhryM4qGn4zryoHxZzIpgw.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/17,Natus Vincere,MOUZ,,12,12,https://www.hltv.org/matches/2374324/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-natus-vincere-vs-mouz-bo3-MFajH_lvGjR_Ib80bR4Ut2.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/18,Natus Vincere,Vitality,,9,13,https://www.hltv.org/matches/2374326/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-vitality-vs-natus-vincere-bo5--64F0INtlmBdgmhHPwnk5D.rar,Y,,,
ESL Pro League Season 20,Main/Playoffs,2024/6/9,Aurora,sinners,,12,12,https://www.hltv.org/matches/2373093/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_20/Europe,esl-pro-league-season-20-europe-closed-qualifier-aurora-vs-sinners-inferno-NMEN_j7ljl2eVFMYdfNQPb.rar,Y,,,
ESL Pro League Season 20,Main/Playoffs,2024/6/9,3DMAX,sinners,,5,13,https://www.hltv.org/matches/2373100/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_20/Europe,"","",,,
ESL Pro League Season 20,Main/Playoffs,2024/6/11,ex-guild eagles,sinners,,12,12,https://www.hltv.org/matches/2373118/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_20/Europe,esl-pro-league-season-20-europe-closed-qualifier-ex-guild-eagles-vs-sinners-bo3-z9DRWlt8DaVMfW4msqYweB.rar,Y,,,
ESL Pro League Season 20,Main/Playoffs,2024/6/11,sinners,3DMAX,,8,13,https://www.hltv.org/matches/2373120/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_20/Europe,"","",,,
BLAST Premier Fall Final 2024,Main/Playoffs,2024/9/25,G2,FaZe,,6,13,https://www.hltv.org/matches/2375766/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall,blast-premier-fall-final-2024-g2-vs-faze-bo3-M99u6WdzsoSw_QgkN9t2uQ.rar,Y,,,
BLAST Premier Fall Final 2024,Main/Playoffs,2024/9/25,Vitality,Astralis,,13,0,https://www.hltv.org/matches/2375767/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall,blast-premier-fall-final-2024-vitality-vs-astralis-bo3-vU_BhrO7qKbkHqACbzjBQM.rar,Y,,,
BLAST Premier Fall Final 2024,Main/Playoffs,2024/9/27,tl,FaZe,,6,13,https://www.hltv.org/matches/2375774/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall,blast-premier-fall-final-2024-faze-vs-liquid-bo3-M6ZKQIEgHJljRFVxESmBfh.rar,Y,,,
BLAST Premier Fall Final 2024,Main/Playoffs,2024/9/28,Natus Vincere,FaZe,,10,13,https://www.hltv.org/matches/2375776/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall,blast-premier-fall-final-2024-natus-vincere-vs-faze-bo3-ROPAs-BeRVmIsxBl2qYzJY.rar,Y,,,
BLAST Premier Fall Final 2024,Main/Playoffs,2024/9/29,Natus Vincere,G2,,7,13,https://www.hltv.org/matches/2375777/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall,blast-premier-fall-final-2024-g2-vs-natus-vincere-bo5-pdcRmo48y29eCT1L7tvEGH.rar,Y,,,
BLAST Premier Fall Final 2024,Groups,2024/7/31,FaZe,Cloud9,,7,13,https://www.hltv.org/matches/2373775/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,blast-premier-fall-groups-2024-faze-vs-cloud9-bo3-ihmdAcNeCnnXz-kUWDRQWJ.rar,Y,,,
BLAST Premier Fall Final 2024,Groups,2024/7/31,G2,Ninjas in Pyjamas,,13,11,https://www.hltv.org/matches/2373776/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,"","",,,
BLAST Premier Fall Final 2024,Groups,2024/8/2,FaZe,Ninjas in Pyjamas,,11,13,https://www.hltv.org/matches/2373789/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,blast-premier-fall-groups-2024-faze-vs-ninjas-in-pyjamas-bo3-VdTvo-LqKO90fOrCjapEhe.rar,Y,,,
BLAST Premier Fall Final 2024,Groups,2024/8/3,G2,Ninjas in Pyjamas,,13,8,https://www.hltv.org/matches/2373793/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,"","",,,
BLAST Premier Fall Final 2024,Groups,2024/8/1,Natus Vincere,Team Liquid,,11,13,https://www.hltv.org/matches/2373784/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,"","",,,
BLAST Premier Fall Final 2024,Groups,2024/8/3,Team Liquid,Natus Vincere,,13,10,https://www.hltv.org/matches/2373794/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,"","",,,
BLAST Premier Fall Final 2024,Groups,2024/8/4,Ninjas in Pyjamas,Astralis,,5,13,https://www.hltv.org/matches/2373795/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups,blast-premier-fall-groups-2024-astralis-vs-ninjas-in-pyjamas-bo3-K9s9BWKc9ebp95rNa21UfD.rar,Y,,,
Perfect World Shanghai Major 2024,Elimination Stage,2024/12/5,G2,The MongolZ,,10,13,https://www.hltv.org/matches/2377696/-,https://liquipedia.net/counterstrike/Perfect_World/Major/2024/Shanghai/Elimination_Stage,perfect-world-shanghai-major-2024-g2-vs-the-mongolz-inferno-6e6xWS9FA-5RtP0JsfknSr.rar,Y,,,
Perfect World Shanghai Major 2024,Elimination Stage,2024/12/5,Natus Vincere,mibr,,11,13,https://www.hltv.org/matches/2377708/-,https://liquipedia.net/counterstrike/Perfect_World/Major/2024/Shanghai/Elimination_Stage,perfect-world-shanghai-major-2024-natus-vincere-vs-mibr-inferno-ypYAPfEN8rML7KqBK_mCNu.rar,Y,,,
